2,Automotive,4bf58dd8d48988d124951735,Automotive Shop,B
3,Car Appraisers,4eb1c1623b7b52c0e1adc2ec,Car Dealership,C
4,Car Dealers and Leasing,4eb1c1623b7b52c0e1adc2ec,Car Dealership,A
5,Used Cars,4eb1c1623b7b52c0e1adc2ec,Car Dealership,A
6,Car Parts and Accessories,4bf58dd8d48988d124951735,Automotive Shop,B
7,Car Wash and Detail,4f04ae1f2fb6e1c99f3db0ba,Car Wash,A
8,Classic and Antique Car,4eb1c1623b7b52c0e1adc2ec,Car Dealership,B
9,Maintenance and Repair,4bf58dd8d48988d124951735,Automotive Shop,B
10,Oil and Lube,4bf58dd8d48988d124951735,Automotive Shop,B
11,Smog Check,4bf58dd8d48988d124951735,Automotive Shop,B
12,Tires,4bf58dd8d48988d124951735,Automotive Shop,B
13,Transmissions,4bf58dd8d48988d124951735,Automotive Shop,B
14,Motorcycles,5032833091d4c4b30a586d60,Motorcycle Shop,A
15,Repair,5032833091d4c4b30a586d60,Motorcycle Shop,A
16,Sales,5032833091d4c4b30a586d60,Motorcycle Shop,A
17,RVs and Motor Homes,4d4b7105d754a06379d81259,Travel & Transport,C
18,Salvage Yards,4bf58dd8d48988d124951735,Automotive Shop,D
19,Towing,4bf58dd8d48988d124951735,Automotive Shop,C
20,Community and Government,4bf58dd8d48988d126941735,Government Building,D
21,Animal Shelters and Humane Societies,4e52d2d203646f7c19daa8ae,Animal Shelter,A
22,Cemeteries,4bf58dd8d48988d15c941735,Cemetery,A
23,Day Care and Preschools,4f4532974b9074f6e4fb0104,Daycare,B
24,Disabled Persons Services,5032891291d4c4b30a586d68,Assisted Living,C
25,Drug and Alcohol Services,4bf58dd8d48988d10f951735,Drugstore / Pharmacy,F
26,Education,4d4b7105d754a06372d81259,College & University,B
27,Adult Education,4bf58dd8d48988d1ae941735,University,B
28,Art Lessons and Schools,4bf58dd8d48988d199941735,College Arts Building,C
29,Colleges and Universities,4d4b7105d754a06372d81259,College & University,A
30,Computer Training,4bf58dd8d48988d19f941735,College Technology Building,C
31,Culinary Lessons and Schools,4bf58dd8d48988d1ad941735,Trade School,C
