1,Factual Places,,
2,Automotive,1,
3,Car Appraisers,2,
4,Car Dealers and Leasing,2,
5,Used Cars,4,
6,Car Parts and Accessories,2,
7,Car Wash and Detail,2,
8,Classic and Antique Car,2,
9,Maintenance and Repair,2,
10,Oil and Lube,9,
11,Smog Check,9,
12,Tires,9,
13,Transmissions,9,
14,Motorcycles and Mopeds and Scooters,2,
15,Repair,14,
16,Sales,14,
17,RVs and Motor Homes,2,
18,Salvage Yards,2,
19,Towing,2,
20,Community and Government,1,
21,Animal Shelters and Humane Societies,20,
22,Cemeteries,20,
23,Day Care and Preschools,20,
24,Disabled Persons Services,20,
25,Drug and Alcohol Services,20,
26,Education,20,
27,Adult Education,26,
28,Art Lessons and Schools,26,
29,Colleges and Universities,26,
30,Computer Training,26,
31,Culinary Lessons and Schools,26,
32,Driving Schools,26,
33,Fraternities and Sororities,26,
34,Primary and Secondary Schools,26,
35,Tutoring and Educational Services,26,
36,Vocational Schools,26,
37,Government Departments and Agencies,20,
38,Government Lobbyists,20,
39,Housing Assistance and Shelters,20,
40,Law Enforcement and Public Safety,20,
41,Rescue Services,40,
42,Fire Stations,40,
43,Police Stations,40,
44,Libraries,20,
45,Military,20,
46,Bases,45,
47,Organizations and Associations,20,
48,Charities and Non-Profits,47,
49,Environmental,47,
50,Youth Organizations,47,
51,Post Offices,20,
52,Public and Social Services,20,
53,Religious,20,
54,Buddhist Temples,53,
55,Churches,53,
56,Hindu Temples,53,
57,Mosques,53,
58,Synagogues,53,
59,Senior Citizen Services,20,
60,Retirement,59,
61,Utility Companies,20,
62,Healthcare,1,
63,AIDS Resources,62,
64,Assisted Living Services,62,
65,Home Health Care Services,62,
66,Facilities and Nursing Homes,64,
67,Blood Banks and Centers,62,
68,Chiropractors,62,
69,Dentists,62,
70,Emergency Services,62,
71,Ambulance,70,
72,Holistic and Alternative and Naturopathic Medicine,62,
73,Acupuncture,72,
74,Hospitals and Clinics and Medical Centers,62,
75,Medical Supplies and Labs,62,
76,Mental Health,62,
77,Counseling and Therapy,76,
78,Psychologists,76,
79,Nurses,62,
80,Pharmacies,62,
81,Physical Therapy and Rehabilitation,62,
82,Sports Medicine,81,
83,Physicians,62,
84,Anesthesiologists,83,
85,Cardiologists,83,
86,Dermatologists,83,
87,Ear and Nose and Throat,83,
88,Family Medicine,83,
89,Gastroenterologists,83,
